ñamal	ñamales
ñame	ñames
ñandú	ñandúes
ñapa	ñapas
ñaque	ñaques
ñato	ñata
ñato	ñatas
ñato	ñatos
ñeque	ñeques
ñipe	ñipes
ñiquiñaque	ñiquiñaques
ñire	ñires
ñocha	ñochas
ñoclo	ñoclos
ñoñería	ñoñerías
ñoñez	ñoñeces
ñoño	nona
ñoño	ñoña
ñoño	ñoñas
ñoño	nonas
ñoño	ñoños
ñoño	nonos
ñu	ñúes
ñu	ñus
ñudoso	ñudosa
ñudoso	ñudosas
ñudoso	ñudosos
