êta	êtas
être	es
être	est
être	étaient
être	étais
être	était
être	étant
être	été
être	êtes
être	étiez
être	étions
être	êtres
être	furent
être	fûmes
être	fus
être	fusse
être	fussent
être	fusses
être	fussiez
être	fussions
être	fut
être	fût
être	fûtes
être	sera
être	serai
être	seraient
être	seras
être	serait
être	serais
être	serions
être	serons
être	serez
être	seront
être	seriez
être	soient
être	sois
être	sommes
être	soit
être	soyons
être	soyez
être	sont
être	suis
